prompt,prompt_len,target
Maria Renata Saenger von Mossau,8,0
Guillaume de Peyre,5,1
Anna of Isenburg-Büdingen,8,0
Helen of the Palatinate,7,0
Amata of Assisi,5,0
Princess Maria Theresa of Savoy,6,0
Clement of Alexandria,4,1
Princess Pauline of Waldeck and Pyrmont,10,0
Francesco Ferrucci,5,1
Julian of Toledo,4,1
Dorothy Garai,4,0
"Giovanni II Ventimiglia, 6th Marquis of Geraci",14,1
"Beatrice of Hungary, Dauphine of Viennois",10,0
Giovanni Poggio,4,1
Peter of Saint Joseph Betancur,8,1
Nathaniel Lee,3,1
Aurelio Galleppini,6,1
Nicole-Reine Lepaute,8,0
Margaret of Jülich,5,0
Hallur Gissurarson,7,1
Stéphanie de Beauharnais,8,0
"Rudolf II, Margrave of Hachberg-Sausenberg",13,1
Mariana Alcoforado,5,0
"Barnim IV, Duke of Pomerania",9,1
Johann Segeberg,5,1
Maria Anna von Oettingen-Spielberg,10,0
Clement III,3,1
Pietro Pariati,4,1
Lady Mary Grey,4,0
Lyubov Sadchikova,7,0
Queen Gongye,4,0
Leonhard Kleber,5,1
Pauline Félicité de Mailly,7,0
Anna Krölin,5,0
Walter Travers,3,1
Joseph Ennemoser,6,1
Świętosława of Poland,7,0
Hermann Zabel,4,1
Ali ibn Yusuf,4,1
Guillaume Pierre Godin,5,1
Princess Therese of Saxe-Altenburg,9,0
Matilda de Percy,5,0
Walter of the Mill,5,1
Empress Wang Fahui,6,0
Anne of Denmark,4,0
Matilda of Boulogne,5,0
"Elizabeth Smith-Stanley, Countess of Derby",9,0
Heinrich Müller,3,1
Simeon Stylites the Younger,8,1
Mayken Verhulst,6,0
Blanche de Bouville,6,0
Francesco Maria Richini,5,1
"Louis, Count of Évreux",8,1
Friedrich Deys,4,1
Yasser Arafat,5,1
Heinrich von Bokholt,5,1
"Eugen Alexander Franz, 1st Prince of Thurn and Taxis",15,1
Blanche de France,5,0
"Frederick II, Duke of Swabia",8,1
"Friedrich Adolf, Count von Kalckreuth",9,1
Alfred Flatow,4,1
Beatrice of Faucigny,6,0
"Catherine of Bosnia, Countess of Cilli",9,0
"Roger Bigod, 2nd Earl of Norfolk",11,1
Hedvig Charlotta Nordenflycht,8,0
Josephine Hull,4,0
Beatrix of Andechs-Merania,10,0
Anna of Oldenburg,4,0
Maria Alphaizuli,5,0
Joan I of Navarre,5,0
Yi Bangja,4,0
Margaret of Savoy,4,0
Karl Heinrich Dzondi,6,1
Johann II. von Elben,7,1
Gertrude of Hackeborn,7,0
Johann Christoph Rothe,5,1
Andreas Gillardon der Jüngere,7,1
Ludovico Trevisan,6,1
Giovanni di Candida,4,1
Gytha Thorkelsdóttir,9,0
Johann Friedrich von Cronegk,7,1
Alberto Sordi,4,1
Lady Ma,3,0
Anna von Tecklenburg-Schwerin,9,0
Xuande Emperor,5,1
Harald Grenske,5,1
Susanne Maria von Sandrart,7,0
Agnes de Percy,4,0
Alighiero di Bellincione,9,1
Saint Gunther of Bohemia,5,1
Conrad Pflüger,5,1
Beatrice Cenci,4,0
Nur ad-Din Zangi,7,1
Christian Dietrich Grabbe,5,1
"Ferdinando de' Medici, Grand Prince of Tuscany",11,1
Manuel Angelos,4,1
Hermann of Ortenburg,5,1
Emperor Zhangzong of Jin,6,1
Judith of Brandenburg,4,0
Jiří Antonín Benda,7,1
Cornelia Gallonia,5,0
Agnes of Landsberg,5,0
Yuwen Shiji,5,1
Johann Nikolaus Hanff,5,1
Isabella Teotochi Albrizzi,8,0
Sophia von Sachsen,4,0
Ernst Moritz Arndt,5,1
Urraca of Castile,5,0
"John FitzAlan, 1st Baron Arundel",10,1
Irene Laskarina,5,0
Marie des Anges,4,0
Heinrich Christian Boie,5,1
Zbigniew Oleśnicki,6,1
Yasujirō Ozu,7,1
Abraham Mendelssohn Bartholdy,6,1
Jean de Bodt,5,1
Kep Enderby,4,1
"Richardis of Schwerin, Queen of Sweden",10,0
Rudolf Heinze,4,1
Sophia of Minsk,4,0
Princess Taiping,4,0
Celestine I,4,1
Eleanor of Champagne,4,0
Pedro Bernaldez de Sahagun,7,1
Empress Zhanghui,6,0
Ermengarde of Limburg,6,0
Anne of Savoy,4,0
Agnes of Brandenburg,4,0
José Eduardo de Cárdenas,5,1
Laurence Irving,3,1
Hedwig von Gutenstein,6,0
Walburgis van Neuenahr,7,0
Walter of Pontoise,5,1
"Henriette, Countess of Montbéliard",10,0
John Lefferts,5,1
Margaret of York,4,0
Johannes von Lambsheim,6,1
Matthew the Apostle,4,1
Duchess Elisabeth of Württemberg,7,0
Polydore Vergil,6,1
Ida von Nivelles,5,0
Theodora Palaiologina,6,0
"Joanna of Austria, Princess of Portugal",8,0
Pei Du,3,1
Empress Cao,4,0
Stephen Bethlen,4,1
Norbert of Iburg,5,1
Živana Antonijević,7,0
Béla of Macsó,6,1
Jean-Paul Marat,5,1
Alice d'Este,5,0
Margaret of Soissons,5,0
Henry de Trubleville,6,1
Therese Malfatti,5,0
Agnes van de Palts,6,0
Franz Johann Joseph von Reilly,6,1
Johan von Brunkow,5,1
Adelaide of Brunswick,4,0
Amalia of Cleves,6,0
Maria of Brabant,4,0
Joachim Slüter,5,1
John Ingram,3,1
Francis Marrash,4,1
Arnaud de Nîmes,5,1
Filipa Moniz Perestrelo,8,0
Else Lasker-Schüler,6,0
Georg Wolfgang Franz Panzer,5,1
Irene Laskarina,5,0
Louise de Marillac,5,0
Adela of France,5,0
Wang Mang,3,1
Heinrich Kuhl,4,1
Pál Kinizsi,6,1
"John de Cobham, 3rd Baron Cobham",12,1
Isabelle of France,4,0
Theda Ukena,5,0
Johann von Dalberg,5,1
Eleanor of Scotland,4,0
Imre Thököly,7,1
Duchess Helene of Mecklenburg-Schwerin,9,0
Wu Zetian,4,0
Elizabeth I of England,5,0
Kaspar Gropper,5,1
Daniel Balavoine,5,1
Liu Congjian,4,1
Meera,3,0
Fabio Mignanelli,5,1
Blanche of England,5,0
Salomea of Berg,6,0
Beinta Broberg,5,0
"Margaret Bentinck, Duchess of Portland",9,0
Pei Xingjian,4,1
Guillaume Dubois,3,1
Adolf II of Berg,5,1
Michael of Bosnia,4,1
Empress Deng Mengnü,7,0
"Margaret of Bohemia, Burgravine of Nuremberg",10,0
Ric Berger,3,1
"Diana, Princess of Wales",6,0
Françoise Cactus,4,0
Elisa Radziwill,5,0
Adamus Meyer,4,1
Marika Rökk,5,0
John of Vercelli,5,1
Matthias Gallas,4,1
"Elizabeth Stuart, Queen of Bohemia",7,0
João I of Kongo,5,1
Galeotto I Malatesta,7,1
Juan Pablo Bonet,5,1
Katharina Kepler,4,0
Kinga of Poland,5,0
Louise de Marillac,5,0
Countess Sophie Henriette of Waldeck,9,0
Justus Carl Hasskarl,6,1
Juliana of Nicomedia,7,0
Constance of Penthièvre,7,0
Anna of Cilli,5,0
Louise of Great Britain,5,0
Vasant Sabnis,5,1
"Anne of York, Duchess of Exeter",8,0
Friedrich Eduard Schulz,4,1
Margaret of Savoy,4,0
Johann Georg Hamann,5,1
"Otto II, Duke of Swabia",8,1
"Ada, Countess of Holland",6,0
Francesco Algarotti,5,1
Antonio Tebaldeo,5,1
Valerio of Bierzo,6,1
Dorothea Maria of Anhalt,7,0
Countess Maria of Nassau,6,0
Ira H. Abbott,5,1
Johann Wigand,4,1
Natalia Alexeievna of Russia,8,0
Johann Caspar Aiblinger,6,1
Giovanni Agostino da Lodi,6,1
Princess Charlotte Sophie of Saxe-Coburg-Saalfeld,13,0
Zarah Leander,5,0
Charlotte Amalie of Hesse-Kassel,9,0
"Elisabeth of Bavaria, Electress of Brandenburg",9,0
"Margaret of Bohemia, Duchess of Wroclaw",9,0
Laurent de La Hyre,6,1
Bernhard Riemann,3,1
Richilde of Provence,5,0
Eberhard von Sayn,7,1
"Margaret II, Countess of Hainault",8,0
Roeland van Uitkerke,7,1
Francesco Traini,4,1
Wivina,4,0
Gorch Fock,5,1
L. B. Abbott,6,1
Marie Louise d'Orléans,6,0
Georg Hillmar,4,1
Judith of Poland,4,0
Nína Tryggvadóttir,8,0
Fujiwara no Kimiko,6,0
"Gunnhild, Mother of Kings",8,0
Peter Wtewael,6,1
"Joanna, wife of Chuza",7,0
Sayyida Nafisa,6,0
Otto Staudinger,5,1
"Blanche of France, Infanta of Castile",10,0
Christian Samuel Theodor Bernd,5,1
Empress Dowager Bo,6,0
Theodore Oesten,4,1
Catherine of Mecklenburg,4,0
Anna Komnene Angelina,5,0
Giovanna Felicita Feltria della Rovere,10,0
Marie of the Incarnation,6,0
"Marie, Prioress of Poissy",9,0
"Maud de Lacy, Countess of Gloucester",9,0
Conrad II,3,1
Marie Comnène,5,0
Sylvia de Arruda Botelho Bittencourt,11,0
Elisa von Ahlefeldt,6,0
Amata of Assisi,5,0
Ottavio Farnese,6,1
Madge Syers,5,0
Liutprand of Cremona,8,1
Halldóra Tumadóttir,9,0
Bernardino Telesio,5,1
Jurij I. Jaroslavič,8,1
Agnes of Schlesien Liegnitz,8,0
Katharina Sommermeyer,5,0
Peter Fourier,3,1
Hino Kumawaka,6,1
Princess Gaoyang,4,0
Bertran IV de la Tour,7,1
John XII,3,1
Svein Knutsson,5,1
Ecgberht of Ripon,8,1
David VII of Georgia,5,1
Frederick II of Zollern,6,1
Countess Katharina Dorothea Finck of Finckenstein,11,0
Reinhold Röhricht,6,1
Urraca López de Haro,7,0
Jean Philippe Eugène de Mérode,7,1
Odilia of Cologne,6,0
"Elizabeth of Hungary, Queen of Serbia",8,0
Roger of Cannae,5,1
Adam Krafft,4,1
Nikolaus Stör von Schweidnitz,9,1
Anna of Hungary,4,0
Ascanio Sforza,6,1
Otto Friedrich Magnus von Baudissin,8,1
Li Baiyao,4,1
Melchior Rink,5,1
Yolande of Anjou,7,0
Beatrice of Swabia,5,0
Ignaz Schiffermüller,6,1
Thomas Rymer,4,1
Thomas Lodge,3,1
Agnes of Poitou,5,0
Pan Yunu,4,0
Beatrix von Holte,6,0
"Juan de Borja Lanzol de Romaní, el mayor",12,1
Elisabeth of Lorraine,4,0
Anne d'Alençon,7,0
Loftur Sæmundsson,7,1
Sámuel Kálnoky,9,1
"William, Count of Sully",6,1
Jeanne of Montfort,5,0
Aelia Eudocia,6,0
Alexios Komnenos,6,1
Anne Bradstreet,5,0
Amy Robsart,5,0
Louise of Mecklenburg-Strelitz,7,0
Elisabeth of Austria,4,0
Tarateño Rojas,5,1
Elena di Bosco,4,0
Antoinette du Ligier de la Garde Deshoulières,13,0
Azzone Visconti,5,1
Princess Marie Amelie of Baden,7,0
Jordan of Hauteville,5,1
Thomas Morkerke,6,1
"Catherine of Brunswick-Wolfenbüttel, Margravine of Brandenburg-Küstrin",18,0
Theophylact Simocatta,7,1
Hans Hut,3,1
Princess Louise Auguste of Denmark,6,0
Gherardo Appiani,6,1
Adalbert of Italy,5,1
Edward V of England,5,1
Michiko,3,0
Elsie MacGill,5,0
Magdalena van de Passe,5,0
"Henry Borwin II, Lord of Mecklenburg",9,1
Melvin Calvin,4,1
Hedwig of Habsburg,6,0
Nicolas Bernier,4,1
Maria of the Palatinate-Simmern,10,0
Ouyang Zhan,4,1
Bernal Díaz del Castillo,6,1
Laodice of Cappadocia,8,0
Wilhelm Reiss,3,1
Philippa of Lancaster,5,0
Saint Alexandra,3,0
Christophe Keckeis,5,1
Veronica Giuliani,3,0
Gabriele Adorno,5,1
John Stonor,4,1
Helen of Zadar,5,0
"Blanche of Navarre, Countess of Champagne",9,0
Gerberge of Lorraine,5,0
Henry Irving,3,1
"Charles Somerset, Marquess of Worcester",8,1
Anna Maria of Mecklenburg-Schwerin,8,0
Marie of Champagne,4,0
Clement XIV,3,1
"Marie of Blois, Duchess of Anjou",10,0
Christina I,3,0
Charlotte of Bourbon,4,0
"Joan I, Countess of Burgundy",7,0
Theresa of León,4,0
Inga of Varteig,7,0
Christoph Frankopan,4,1
Georg Scherer,3,1
Empress Xiangong,5,0
Saint Meinhard,4,1
Gertrude of Dagsburg,7,0
Francisco Mendoza de Bobadilla,6,1
John Lloyd Stephens,4,1
Heinrich der Grausame von Österreich,8,1
Sophie Catherine of Schleswig-Holstein-Sonderburg,10,0
Anna Marie of Brunswick-Lüneburg,9,0
Andreas Petermann,4,1
John Cassian,4,1
Elisabeth of Hesse,4,0
Isabel Moctezuma,5,0
Ulf Karlsson,3,1
Agatha Christie,4,0
Gisela von Arnim,6,0
Agnes of Brandenburg,4,0
Étienne de Bar,4,1
Clemens von Delbrück,6,1
Sophia Dorothea of Hanover,5,0
Miyu Matsuki,5,0
Jacques Hébert,4,1
Albert of Louvain,4,1
Carl Constantin Haberle,5,1
Louis Aleman,4,1
Fátima de Madrid,5,0
William II,3,1
George Maniakes,4,1
Shi Tianzhe,4,1
Stephanie of Provence,4,0
Mafalda of Portugal,5,0
Georg von Speyer,5,1
Charlotte von Stein,4,0
Jean Le Maingre,6,1
Cipriano de Rore,7,1
Emperor An of Han,5,1
Friedrich Alfred Krupp,5,1
Alonso Álvarez de Pineda,5,1
Neill S. Brown,5,1
Joseph Chmel,4,1
"John VII, Count of Harcourt",7,1
Franz von Retz,5,1
Catherine of the Palatinate,7,0
Baba Tahir,4,1
Kyriaki,4,0
Claudia de' Medici,5,0
Constance of Świdnica,7,0
Magdalena Sibylle of Saxe-Weissenfels,10,0
Theodora of Arta,5,0
Gemistus Pletho,5,1
Archduchess Eleanor of Austria,7,0
Jane Austen,3,0
Casimir I of Oświęcim,8,1
Hannibal Mago,5,1
Robert de Stretton,5,1
Tuoba Shiyijian,7,1
Mathilde Wesendonck,6,0
Ernst Christoph von Manteuffel,7,1
Philippa Roet,5,0
Irina Godunova,5,0
Jacob van Utrecht,4,1
Abigail Adams,3,0
Elisabeth of Anhalt-Zerbst,8,0
Johannes of Jerusalem,4,1
Margaret of Joinville,5,0
Karl Bulla,4,1
E. Marlitt,5,0
Stephan Parmenius,5,1
Johann Wolfgang Textor,5,1
Jacques Vaillant,4,1
Jan de Bray,4,1
Zhou Yu,3,1
Ida of Essen,4,0
Therese Huber,4,0
"John, Count of Leiningen-Dagsburg-Falkenburg",16,1
Ibrahim ibn Muhammad,4,1
Nikolaus von Frauenfeld,6,1
Ali ibn Abi Bakr al-Haythami,11,1
Étienne Jeaurat,5,1
Friederike Krüger,6,0
Leo IV,3,1
Ethel Grey Terry,5,0
Anna Karolina Orzelska,7,0
Klemens z Ruszczy,6,1
Adam Kraft,3,1
Agostino Carracci,5,1
Salome of Ujarma,7,0
Koljo Adam,4,1
Elizabeth Mortimer,3,0
Helena of Moscow,4,0
Madeleine de La Tour d'Auvergne,9,0
Wilhelm Ferdinand Erichson,5,1
Willy Ley,3,1
Maria of the Palatinate-Simmern,10,0
Elizabeth the Cuman,5,0
Louise of Savoy,4,0
Catherine of Poděbrady,7,0
Ernst von Ratzeburg,6,1
Juan Rodríguez de Fonseca,5,1
Empress Dowager Li Lingrong,8,0
"Elizabeth of Hungary, Duchess of Bavaria",8,0
Herdis Torvaldsdatter,8,0
Janus Pannonius,6,1
Robert Grosseteste,5,1
Jeanne of Saint-Pol,6,0
Greta Garbo,4,0
William IV of Saint Omer,6,1
Franciscus de Lutra,6,1
Wilhelm Knop,4,1
Joseph Süß Oppenheimer,4,1
Johann Severin Vater,5,1
"Arnulf II, count of Flanders",8,1
Clare of Montefalco,6,0
Abraham Frentzel,5,1
Maria of Gaeta,5,0
"Ingeborg of Denmark, Queen of Norway",10,0
Ladislaus Kán,6,1
Margherita Pusterla,6,0
Jovan Hadži,5,1
Princess Élisabeth of France,6,0
Friedrich Myconius,5,1
Friedrich Egermann,5,1
Anna of Tyrol,4,0
Emperor Ai of Tang,5,1
Johann Franz Hieronymus Brockmann,6,1
Konrad von Thüngen,6,1
"Frederick IV, Duke of Austria",7,1
Emperor Zhangzong of Jin,6,1
Ludovico Urbani,5,1
Johan Gabriel Sparwenfeld,6,1
Bertha Pappenheim,6,0
Alexander Agricola,4,1
Duchess Alexandra Petrovna of Oldenburg,8,0
Yolande of Valois,7,0
Johann Grueber,5,1
Sibylle of Saxony,5,0
Brigit of Kildare,5,0
Christoph Weigel the Elder,6,1
Dirk II van Brederode,7,1
Gertrude of Hackeborn,7,0
"Joachim Frederick, Duke of Schleswig-Holstein-Sonderburg-Plön",15,1
"Pedro de Menezes, 1st Count of Vila Real",13,1
Bobbi Trout,4,0
Philippe de Rémi,5,1
Cristóbal de la Cerda y Sotomayor,10,1
Aldona of Lithuania,5,0
Sophia of Bavaria,4,0
Agnes of Baden,4,0
"Marie, Countess of Eu",6,0
Christian Zeller,3,1
Anna of Cilli,5,0
Margaretha van Ieper,7,0
Hans Fründ,4,1
William le Boteler,5,1
May Sutton,3,0
"Agnes, Countess of Evreux",7,0
Philippa of Antioch,5,0
Bernhard von Langenbeck,5,1
Lady Xuanhua,4,0
Aubert of Avranches,7,1
"William Cavendish, 2nd Duke of Devonshire",10,1
Julian of Norwich,4,0
Johannes Wiese,3,1
"Wilhelmina of Prussia, Princess of Orange",10,0
"Philip Louis I, Count of Hanau-Münzenberg",13,1
"William, Margrave of Baden-Baden",9,1
Gisela,3,0
Nelly Sachs,4,0
"Marguerite, bâtarde de France",9,0
"Fulk, King of Jerusalem",7,1
Georg Wilhelm Friedrich Hegel,5,1
Al-Salih Salih,7,1
Ernest Tursunov,5,1
Heraclius,4,1
Tomás de Santa María,6,1
Liu Yan,3,1
Empress Xu Pingjun,6,0
Marie de Gournay,5,0
Francesco Botticini,5,1
Mikołaj Kurowski,6,1
Guy de Chauliac,6,1
Gabriela Silang,4,0
Jacopo de' Pazzi il Vecchio,9,1
James Franck,3,1
"Sophie of Pomerania, Duchess of Pomerania",10,0
"Beatrice I, Abbess of Quedlinburg",11,0
Zuzana Vojířová von Vacovice,12,0
Ghiyath al-Din Tughluq,11,1
Antony Bek,3,1
Hōjō Yoshimasa,7,1
Wang Meng,3,1
Konstantin Ghilian Karl d'Aspré,10,1
Francesco Conti,3,1
Raúl Valerio,3,1
Sante Bentivoglio,7,1
Empress Liu,4,0
Alonso de Mendoza,4,1
Thomas de Turberville,6,1
"Elisabeth of Hesse, Electress Palatine",8,0
Fátima de Madrid,5,0
Teresa of Ávila,4,0
Liu Chuyu,4,0
"Alessandro, Marquis de Maffei",8,1
Countess Palatine Barbara of Zweibrücken-Neuburg,13,0
Henriette Mendel,4,0
Juan Martínez Montañés,6,1
"Frederick II, Holy Roman Emperor",7,1
Ariana Nozeman,4,0
Niccolò Machiavelli,5,1
Katarina Svantepolksdotter,9,0
"Rudolf I, Count of Stade",7,1
Margarete Steiff,6,0
Henriette von Crayen,6,0
Elen,2,0
"John Casimir, Duke of Saxe-Coburg",11,1
Zhang Changpu,4,0
"Isabella Mortimer, Countess of Arundel",7,0
Margaret Wycherly,5,0
Empress Du Lingyang,6,0
Christina of Denmark,4,0
Constance of Portugal,5,0
Elvira Menendez,5,0
Margaret Theresa of Spain,5,0
Marfa Sobakina,6,0
Faustina the Younger,5,0
Jonathan Demme,4,1
Carl Heinrich Becker,4,1
Catherine of Braganza,5,0
Maria of Calabria,4,0
"John V, Prince of Anhalt-Zerbst",11,1
Francisco de Enzinas,6,1
Violant of Castile,5,0
Rabia Balkhi,5,0
"Ernest, Duke of Bavaria",6,1
Elizabeth de Burgh,4,0
"Maria, Queen of Sicily",6,0
Candye Kane,4,0
Cunigunde of Luxembourg,7,0
Bridget of Sweden,4,0
"Maria, Abbess of Quedlinburg",10,0
Margaret of the Palatinate,7,0
Yaakov ben Moshe Levi Moelin,8,1
Anne Halkett,5,0
Consort Liang,4,0
Rabia of Basri,6,0
"Margaret I, Countess of Flanders",7,0
Mikołaj Kamieniecki,8,1
Margherita Malatesta,6,0
Mathilde of Bourbon,5,0
Hieronymous Theodor Richter,5,1
Antonio Sacchini,4,1
Johann Hilten,4,1
Paolo da Firenze,4,1
"Elisabeth of Hesse, Hereditary Princess of Saxony",10,0
Johann Glaser,3,1
Anna świdnicka,6,0
Margaret of Scotland,4,0
Anton Friedrich Büsching,6,1
Faustina the Younger,5,0
Mechtildis of Edelstetten,9,0
Battista Sforza,6,0
Tommaso II d'Aquino,8,1
Marie Anne de Bourbon,5,0
Berenice,4,0
Marguerite de Metola,6,0
Arnold von Quedlinburg,7,1
Kunigunde of Austria,6,0
Constance of Béarn,6,0
Caesarius of Nazianzus,8,1
Wilhelm Röpke,5,1
Daniel Boemle,5,1
Sophia of Holstein-Gottorp,8,0
Maureen Connolly,3,0
Judith of Thuringia,6,0
Friederike Bethmann,6,0
Georg Stiernhielm,6,1
Princess Maria Josepha of Saxony,7,0
Sarah-Theodora,5,0
Dorothy Osborne,3,0
Marie Durand,3,0
Richardis of Sualafeldgau,9,0
Joss Fritz,4,1
Maria Eleonora of Brandenburg,6,0
Anna Margareta von Haugwitz,8,0
"Sophie of Thuringia, Duchess of Brabant",10,0
Princess Cecilia of Sweden,5,0
Aelbert Cuyp,6,1
Abraham Susenier,5,1
Isabella Teotochi Albrizzi,8,0
Johann Albrecht Adelgrief,6,1
Inés de Suárez,5,0
Yolande of Brittany,6,0
Salomon Landolt,5,1
Suzanne Roquette,4,0
Nestor of Thessaloniki,5,1
Gregory of Nazianzus,6,1
Friedrich Eisenlohr,5,1
Catharina van Hemessen,6,0
Margaret of Valois,5,0
Izyaslav of Polotsk,9,1
Robert Greene,3,1
Johannes Abezier,4,1
Raymond of Poitiers,4,1
Princess Auguste of Bavaria,5,0
Frances E. Allen,5,0
"Margaret of Austria, Queen of Bohemia",8,0
John Corvinus,5,1
Ilona Zrínyi,6,0
Beatrice d’Este,5,0
Bertha of Blois,6,0
John III of Nassau-Weilburg,8,1
Ælfflæd of Whitby,8,0
Luo Tong,3,1
Alice of Korikos,5,0
Catherine of Bjurum,6,0
Margaret of Villehardouin,6,0
Isabella de Coucy,5,0
George Stevens,3,1
Ernst von Mansfeld,5,1
Jürgen von Farensbach,6,1
Catherine of Guelders,6,0
Margaret of England,4,0
"Margaret Stewart, Dauphine of France",8,0
Emperor He of Han,5,1
Emanuel Schikaneder,6,1
"Marie of Lusignan, Queen of Aragon",10,0
Angeline of Marsciano,6,0
Artaxerxes I of Persia,8,1
Godfrey of Amiens,5,1
Eleanor de Montfort,5,0
Saint Valentine,3,1
Gregor Erhart,4,1
Alfonso VIII,3,1
"Joan of Ponthieu, Dame of Epernon",12,0
Joan Holland,3,0
Aleid van Poelgeest,8,0
Alexander,2,1
John Maunsell,5,1
Empress Zhang,4,0
"Frederick August I, Duke of Oldenburg",8,1
Cui Zhiwen,5,1
Marie of Anjou,5,0
Edward Kent,3,1
Julia Minor,3,0
David Cairns,3,1
Alice de Bryene,5,0
Michael Jackson,3,1
"Joan of Anjou, Queen of Armenia",9,0
Johannes Junius,4,1
Friedrich Daniel Behn,5,1
"William II, Count of Burgundy",7,1
"Albert I, Margrave of Meissen",9,1
Juliana Maria of Brunswick-Wolfenbüttel,10,0
Jurij Slatkonja,6,1
Abraham Cowley,3,1
Mildred Dresselhaus,6,0
Maria Mancini,3,0
Samuel Harsnett,4,1
"Matilda of Germany, Countess Palatine of Lotharingia",12,0
Frédéric Mistral,4,1
Christina von Retters,5,0
"Mary of Lusignan, Countess of Brienne",11,0
Elisabetta Gonzaga,5,0
Leopold von Ranke,5,1
Johannes Fischer,3,1
Agostino Scilla,5,1
Ernest Lewis,3,1
"Gunnhild, Mother of Kings",8,0
Saint Faro,3,1
Wilhelm von Nesselrode,6,1
Jakob Geis,4,1
Dorothy Garai,4,0
Ana Francisca Abarca de Bolea,9,0
"Marguerite, Countess of Vertus",8,0
Anna Polovetskaya,6,0
Marjorie Bruce,4,0
Anne Greene,3,0
Velasquita Ramírez,5,0
Otto von Braunschweig,4,1
Edward Kelley,3,1
Madeleine de La Tour d'Auvergne,9,0
Zenon Grocholewski,7,1
Stanisław Konarski,5,1
Adelaide of Riedenburg,6,0
"Henry VII, Duke of Bavaria",7,1
Eleanor of Navarre,4,0
"Agnes of Burgundy, Duchess of Aquitaine",9,0
Marie Hedwig of Hesse-Darmstadt,9,0
Konstantin Rokossovsky,7,1
Ulrich II.,4,1
Astrid Olofsdotter,7,0
Gerda Christian,4,0
John of Gorze,5,1
Hedwig Dohm,5,0
Minamoto no Sanetomo,6,1
"Giovanni Borgia, 2nd Duke of Gandia",12,1
Agnes von Rheinfelden,6,0
Darius II,3,1
Duchess Marie Gabrielle in Bavaria,7,0
Gerda Christian,4,0
Henri Marie Ducrotay de Blainville,10,1
"Sancha of Castile, Queen of Aragon",9,0
Marcel Ospel,4,1
Carl van Dockum,5,1
Beatrice of Faucigny,6,0
"Blanche of Castile, Infanta of Portugal",10,0
"Joan I, Countess of Auvergne",7,0
Senta Wengraf,5,0
Georg Christoph Wagenseil,6,1
Xie Lingyun,4,1
Luise Marie of the Palatinate,9,0
Olympias,3,0
Marie Victoire de Noailles,7,0
Kinga of Poland,5,0
Agnese Maddalena di Anhalt-Dessau,11,0
Gracia Mendes Nasi,5,0
Henri Arnaud,3,1
Karl Freiherr von Vogelsang,8,1
Aisha Al-Manoubya,9,0
Estrid Svendsdatter,7,0
María Ignacia Benítez,6,0
Dionysius I of Syracuse,7,1
Liu Bin,3,1
Magdalene Sibylle of Holstein-Gottorp,12,0
Auguste Magdalene of Hessen-Darmstadt,8,0
Countess Catharina Belgica of Nassau,9,0
Angelo Italia,3,1
Luigi Pulci,4,1
Sara Mustonen,4,0
Magnus Bromelius,5,1
Heinrich Opitz,4,1
Ludwig Lavater,4,1
Nadija Hordijenko Andrianova,9,0
Marinus Barletius,6,1
Johann Gregor Memhardt,5,1
Empress Wang Zhi,5,0
"Elizabeth of Lancaster, Duchess of Exeter",8,0
Nikolaus von Kesselhut,6,1
Peter Pascual,3,1
Anna Elisabeth von Bentheim-Steinfurt,10,0
Лудвиг III фон Тек,7,1
Gaston Eyskens,6,1
Marie Hedwig of Hesse-Darmstadt,9,0
Filippo Dell'Antella,7,1
"Hedwig Jagiellon, Electress of Brandenburg",12,0
Pauline Gower,3,0
Jelena Šubić,6,0
Lorenzo Lotto,3,1
Mate Boban,4,1
Qian Hongzuo,6,1
Phillipe de Plessis,6,1
Yun Doo-su,5,1
"Otto II, Margrave of Meissen",9,1
Ferenc Révay,5,1
"Eckard I, Margrave of Meissen",10,1
Henry de Beaume,5,1
Constance of Sicily,5,0
Jean van den Bosch,5,1
Cao Xueqin,4,1
Wei Shuo,4,0
Jean de La Grange,5,1
Hans Litten,4,1
Benon Liberski,5,1
Hermann Muthesius,5,1
Anastasia Romanovna,5,0
Henri Bellechose,4,1
"Margaret III, Countess of Flanders",7,0
Catharina van Hemessen,6,0
Bartolomeo de Luci,6,1
Dionysius Exiguus,7,1
Johannes Hinderbach,5,1
"Elizabeth Smith-Stanley, Countess of Derby",9,0
Beatrice of Lorraine,4,0
August Emil Braun,4,1
Christina of Schleswig-Holstein-Gottorp,10,0
"Eleanor of England, Countess of Bar",8,0
Katherine of Bavaria,4,0
Kassia,3,0
Gertrude B. Elion,7,0
Karl Bernhard Zoeppritz,6,1
Empress Wang,4,0
Eugen Meindl,4,1
Уильям Маршал,7,1
"Walter III, Count of Brienne",8,1
Auria,3,0
علی بن جعد,5,1
Louise Julie de Mailly,6,0
Marie Leszczyńska,5,0
Albert IV. von Bogen,6,1
Nanyue Huairang,7,1
Zacharias Janssen,4,1
Elisa Bonaparte,3,0
John I of Aragon,5,1
Fernando Flaínez,4,1
Amalia von Degenfeld,7,0
Bernhard Joachim von Bülow,6,1
Li Chengqi,4,1
"John V, Count of Armagnac",9,1
Matilda of Amboise,6,0
"Philip, Duke of Palatinate-Neuburg",12,1
"Bernhard, Count of Anhalt",7,1
"David Stewart, Duke of Rothesay",9,1
"Otto II, Marquess of Montferrat",10,1
Lothar I. von Walbeck,8,1
